,Impressionen,Klicks
10.10.12,16,<10
11.10.12,22,<10
12.10.12,22,<10
13.10.12,12,<10
14.10.12,12,<10
15.10.12,22,<10
16.10.12,30,<10
17.10.12,22,<10
18.10.12,16,<10
19.10.12,<10,<10
20.10.12,<10,<10
21.10.12,12,<10
22.10.12,22,<10
23.10.12,30,<10
24.10.12,22,<10
25.10.12,22,<10
26.10.12,16,<10
27.10.12,12,<10
28.10.12,30,<10
29.10.12,35,<10
30.10.12,16,<10
31.10.12,30,<10
01.11.12,30,<10
02.11.12,22,<10
03.11.12,12,<10
04.11.12,30,<10
05.11.12,22,<10
06.11.12,22,<10
07.11.12,35,<10
08.11.12,22,<10
09.11.12,16,<10
10.11.12,16,<10
11.11.12,22,<10
12.11.12,30,<10
13.11.12,30,<10
14.11.12,16,<10
15.11.12,30,<10
16.11.12,22,<10
17.11.12,30,<10
18.11.12,22,<10
19.11.12,30,<10
20.11.12,30,<10
21.11.12,35,<10
22.11.12,22,<10
23.11.12,12,<10
24.11.12,30,<10
25.11.12,16,<10
26.11.12,22,<10
27.11.12,30,<10
28.11.12,30,<10
29.11.12,30,<10
30.11.12,22,<10
01.12.12,<10,<10
02.12.12,22,<10
03.12.12,22,<10
04.12.12,30,<10
05.12.12,30,<10
06.12.12,35,<10
07.12.12,22,<10
08.12.12,22,<10
09.12.12,22,<10
10.12.12,30,<10
11.12.12,16,<10
12.12.12,22,<10
13.12.12,16,<10
14.12.12,30,<10
15.12.12,30,<10
16.12.12,30,<10
17.12.12,22,<10
18.12.12,22,<10
19.12.12,22,<10
20.12.12,16,<10
21.12.12,16,<10
22.12.12,<10,<10
23.12.12,<10,<10
24.12.12,<10,<10
25.12.12,16,<10
26.12.12,16,<10
27.12.12,16,<10
28.12.12,12,<10
29.12.12,12,<10
30.12.12,16,<10
31.12.12,<10,<10
01.01.13,<10,<10
02.01.13,12,<10
03.01.13,30,<10
04.01.13,16,<10
05.01.13,12,<10
06.01.13,22,<10
